Date,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)",Is_Service_National,Is_Service_International,Year,month
2018-01,BORDEAUX ST JEAN,PARIS MONTPARNASSE,141.0,870,5,289,11.24780854,3.693179191,147,28.43673469,6.511117534,110,6.51,44,8,36.13445378,31.09243697,10.92436975,15.96638655,5.04,0.840336134,True,False,2018,1
2018-01,LE MANS,PARIS MONTPARNASSE,56.0,406,1,213,8.479968701,4.567119342,105,18.049,5.363539095,32,5.363539095,9,4,20.0,35.0,16.66666667,16.66666667,8.333333333,3.333333333,True,False,2018,1
2018-01,PARIS MONTPARNASSE,LA ROCHELLE VILLE,166.0,226,0,21,6.23968254,0.286283186,19,24.73684211,2.938053097,11,2.938053097,6,1,22.22222222,27.77777778,16.66666667,16.66666667,5.555555556,11.11111111,True,False,2018,1
2018-01,ST MALO,PARIS MONTPARNASSE,158.0,92,0,2,1.225,0.0625,10,24.975,4.81576087,6,4.763978495,3,1,22.22222222,66.66666667,0.0,11.11111111,0.0,0.0,True,False,2018,1
2018-01,REIMS,PARIS EST,46.0,230,1,93,7.4,3.107569141,62,12.81747312,3.538937409,20,3.538937409,3,0,17.94871795,41.02564103,20.51282051,5.128205128,0.0,15.38461538,True,False,2018,1
2018-01,DOUAI,PARIS NORD,77.0,197,3,39,8.032905983,1.802920962,37,21.4009009,5.046907216,10,5.046907216,5,3,36.36363636,18.18181818,22.72727273,18.18181818,4.545454545,0.0,True,False,2018,1
2018-01,LILLE,PARIS NORD,63.0,579,9,164,8.22195122,2.344327485,101,22.20577558,4.229619883,38,4.222212493,17,10,36.23188406,8.695652174,21.73913043,23.1884058,5.797101449,4.347826087,True,False,2018,1
2018-01,LILLE,MARSEILLE ST CHARLES,307.0,190,4,50,7.381333333,2.043458781,35,44.1152381,9.938261649,35,9.938261649,13,7,57.14285714,19.04761905,4.761904762,9.523809524,4.761904762,4.761904762,True,False,2018,1
2018-01,PARIS NORD,DUNKERQUE,116.0,271,3,46,11.2365942,1.797636816,29,28.68965517,3.73880597,18,3.73880597,9,4,35.71428571,28.57142857,7.142857143,25.0,3.571428571,0.0,True,False,2018,1
2018-01,AIX EN PROVENCE TGV,PARIS LYON,188.0,402,0,117,6.625641026,2.005431177,37,35.97432432,4.417205638,37,4.417205638,19,7,42.85714286,22.85714286,8.571428571,22.85714286,0.0,2.857142857,True,False,2018,1
2018-01,LYON PART DIEU,MARNE LA VALLEE,109.0,316,3,221,10.31432881,7.273375932,64,37.121875,7.814643237,53,7.814643237,27,10,18.36734694,34.69387755,12.24489796,20.40816327,6.12244898,8.163265306,True,False,2018,1
2018-01,PARIS LYON,MARSEILLE ST CHARLES,202.0,482,2,51,13.03660131,1.0721875,43,41.65620155,5.045868056,43,5.045868056,20,8,41.02564103,30.76923077,12.82051282,15.38461538,0.0,0.0,True,False,2018,1
2018-01,BARCELONA,PARIS LYON,390.0,35,0,10,1.4,0.314285714,7,57.67619048,9.219047619,7,9.219047619,3,3,14.28571429,14.28571429,14.28571429,57.143,0.0,0.0,False,True,2018,1
2018-01,MADRID,MARSEILLE ST CHARLES,481.0,16,1,6,3.5,1.0,3,20.27222222,7.255555556,3,7.255555556,0,0,0.0,0.0,66.66666667,33.33333333,0.0,0.0,False,True,2018,1
2018-01,PARIS LYON,ITALIE,394.0,94,0,27,11.2617284,2.997695035,22,55.68181818,11.60106383,22,11.60106383,15,6,33.33333333,19.04761905,23.80952381,14.29,9.523809524,0.0,False,True,2018,1
2018-01,PARIS LYON,LAUSANNE,222.0,151,2,10,10.91166667,0.368008949,20,33.67583333,6.025838926,20,6.025838926,6,2,31.57894737,26.31578947,31.57894737,5.263157895,0.0,5.263157895,False,True,2018,1
2018-01,PARIS MONTPARNASSE,LAVAL,84.0,217,0,32,11.609375,1.455760369,66,15.13434343,5.82281106,16,5.82281106,5,2,24.24242424,54.54545455,3.03030303,12.12121212,3.03030303,3.03030303,True,False,2018,1
2018-01,TOURS,PARIS MONTPARNASSE,75.0,194,0,12,5.727777778,0.333075601,35,11.13142857,2.929295533,7,2.929295533,1,0,25.0,56.25,6.25,12.5,0.0,0.0,True,False,2018,1
2018-01,PARIS EST,METZ,84.0,310,0,41,6.409349593,0.823548387,24,11.88888889,0.76,7,0.76,1,0,26.66666667,6.666666667,13.33333333,40.0,13.33333333,0.0,True,False,2018,1
2018-01,LYON PART DIEU,LILLE,189.0,296,3,218,10.35810398,7.809613197,67,44.43731343,12.04897611,64,12.04897611,35,12,30.76923077,32.69230769,9.615384615,17.30769231,3.846153846,5.769230769,True,False,2018,1
2018-01,PARIS NORD,DOUAI,69.0,192,2,29,10.39367816,1.437105263,30,19.24777778,2.288070175,11,2.288070175,5,3,37.5,33.33333333,12.5,12.5,4.166666667,0.0,True,False,2018,1
2018-01,PARIS VAUGIRARD,NANTES,140.0,62,0,15,11.64111111,2.522043011,10,34.23166667,7.565591398,6,7.565591398,3,3,30.0,30.0,20.0,10.0,10.0,0.0,True,False,2018,1
2018-01,MARSEILLE ST CHARLES,PARIS LYON,202.0,431,0,85,8.292352941,1.546017015,40,35.71166667,4.270301624,40,4.270301624,19,8,39.47368421,21.05263158,10.52631579,26.31578947,0.0,2.631578947,True,False,2018,1
2018-01,PARIS LYON,AVIGNON TGV,159.0,462,0,48,11.04236111,0.855627706,64,31.44114583,5.880880231,45,5.880880231,19,8,30.15873016,25.3968254,19.04761905,22.22222222,3.174603175,0.0,True,False,2018,1
2018-01,PARIS LYON,CHAMBERY CHALLES LES EAUX,186.0,271,0,46,13.59311594,2.047478475,36,39.0712963,5.813653137,26,5.813653137,17,5,14.70588235,26.47058824,20.58823529,32.35294118,5.882352941,0.0,True,False,2018,1
2018-01,VALENCE ALIXAN TGV,PARIS LYON,132.0,280,2,130,11.22217949,5.252158273,48,39.12465278,5.893585132,45,5.893585132,21,7,17.5,37.5,12.5,25.0,2.5,5.0,True,False,2018,1
2018-01,STUTTGART,PARIS EST,185.0,154,5,124,4.631989247,3.918232662,12,34.57777778,4.045525727,12,4.045525727,4,1,41.66666667,25.0,0.0,16.66666667,0.0,16.66666667,False,True,2018,1
2018-01,PARIS MONTPARNASSE,ANGERS SAINT LAUD,90.0,385,3,49,8.362585034,0.730104712,52,19.84358974,4.24943281,22,4.24943281,8,1,21.42857143,23.80952381,21.42857143,23.80952381,9.523809524,0.0,True,False,2018,1
2018-01,PARIS MONTPARNASSE,ANGOULEME,126.0,239,4,36,6.347685185,0.751560284,28,18.02202381,4.113191489,15,4.113191489,3,0,15.38461538,38.46153846,19.23076923,23.07692308,3.846153846,0.0,True,False,2018,1
2018-01,PARIS MONTPARNASSE,BREST,223.0,281,1,39,8.1,0.75172619,19,46.57894737,4.860714286,19,4.826241135,7,4,21.05263158,47.36842105,10.52631579,21.05263158,0.0,0.0,True,False,2018,1
2018-01,RENNES,PARIS MONTPARNASSE,99.0,599,4,238,7.589985994,3.0667507,148,18.50022523,5.850420168,51,5.840604027,16,6,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762,True,False,2018,1
2018-01,METZ,PARIS EST,85.0,307,1,128,8.046614583,3.431263617,64,14.51614583,3.320098039,17,3.320098039,8,0,18.91891892,8.108108108,37.83783784,29.72972973,2.702702703,2.702702703,True,False,2018,1
2018-01,NANCY,PARIS EST,93.0,306,1,71,8.252347418,1.981857923,33,15.96212121,1.192568306,13,1.192568306,5,0,21.05263158,21.05263158,36.84210526,10.52631579,5.263157895,5.263157895,True,False,2018,1
2018-01,PARIS EST,REIMS,45.0,218,1,34,5.49,0.79078341,21,12.04126984,1.435560676,6,1.435560676,0,0,18.75,12.5,6.25,18.75,43.75,0.0,True,False,2018,1
2018-01,LILLE,LYON PART DIEU,190.0,292,8,122,10.04112022,4.375234742,36,56.1587963,7.582805164,31,7.582805164,22,13,40.0,30.0,5.0,20.0,5.0,0.0,True,False,2018,1
2018-01,PARIS NORD,LILLE,64.0,568,5,98,8.828911565,1.499230314,97,21.02491409,4.133274127,40,4.133274127,15,6,38.0952381,21.42857143,9.523809524,21.42857143,9.523809524,0.0,True,False,2018,1
2018-01,NANTES,PARIS VAUGIRARD,143.0,62,0,15,13.87111111,3.647043011,6,47.28055556,5.310215054,5,5.310215054,3,1,0.0,50.0,0.0,16.66666667,16.66666667,16.66666667,True,False,2018,1
2018-01,NICE VILLE,PARIS LYON,346.0,197,0,84,9.961309524,4.370642978,33,46.82525253,8.570981387,33,8.570981387,20,8,38.70967742,25.80645161,9.677419355,19.35483871,0.0,6.451612903,True,False,2018,1
2018-01,PARIS LYON,BELLEGARDE (AIN),160.0,231,2,34,5.780882353,0.563464338,64,36.38802083,11.86091703,49,11.86091703,24,10,40.0,25.45454545,25.45454545,5.454545455,3.636363636,0.0,True,False,2018,1
2018-01,PARIS LYON,GRENOBLE,180.0,262,0,40,9.715,1.226208651,40,34.38666667,6.618193384,32,6.618193384,15,8,15.385,25.64102564,28.20512821,28.20512821,2.564102564,0.0,True,False,2018,1
2018-01,PARIS LYON,MONTPELLIER,209.0,294,0,47,12.22801418,1.626247166,37,39.01036036,4.363038549,37,4.363038549,19,6,25.71428571,45.71428571,11.42857143,14.28571429,2.857142857,0.0,True,False,2018,1
2018-01,LAUSANNE,PARIS LYON,219.0,144,3,110,3.083181818,2.491489362,21,30.352,4.70248227,22,4.70248227,9,2,28.57142857,14.28571429,33.33333333,9.523809524,0.0,14.28571429,False,True,2018,1
2018-01,PARIS LYON,BARCELONA,387.0,62,0,16,11.94479167,2.667741935,8,49.5,8.55,8,8.548387097,4,1,12.5,37.5,25.0,25.0,0.0,0.0,False,True,2018,1
2018-01,ANGOULEME,PARIS MONTPARNASSE,125.0,270,4,135,5.710123457,2.971365915,56,21.19821429,6.464974937,33,6.464974937,9,0,26.92307692,42.30769231,9.615384615,15.38,3.846153846,1.923076923,True,False,2018,1
2018-01,LA ROCHELLE VILLE,PARIS MONTPARNASSE,165.0,222,0,8,2.875,0.095795796,34,21.52401961,5.696096096,22,5.696096096,5,0,15.38461538,30.76923077,38.46153846,11.53846154,3.846153846,0.0,True,False,2018,1
2018-01,PARIS MONTPARNASSE,BORDEAUX ST JEAN,143.0,775,7,148,9.377815315,1.582530382,79,25.47911392,2.546961806,45,2.546961806,21,4,21.66666667,25.0,11.66666667,40.0,1.666666667,0.0,True,False,2018,1
